Unnamed: 0,PRODUCTO,OT REFERENCIA,CODIGO,PESO,MATERIA PRIMA,PROCESO FINAL,PESO ARMADO ,FAMILIA,MAQUINA,ETAPA,STD,N° ETAPA
Perno riel FFCC P Cab Cuad 3/4x85,Perno riel FFCC P Cab Cuad 3/4x85,35228.0,2821624160-8,0.235,1020 3/4,,0.235,PERNOS RIELEROS NG C,,,,
Perno riel FFCC LP 3/4x85,Perno riel FFCC LP 3/4x85,34067.0,2821624150-0,0.238,,,0.238,PERNOS RIELEROS NG C,,,,
Perno riel FFCC 7/8x4x2H,Perno riel FFCC 7/8x4x2H,38726.0,2821628150-2,0.424,,,0.424,PERNOS RIELEROS NG C,,,,
Perno riel NA 1x3.1/2,Perno riel NA 1x3.1/2,34780.0,2721232056-6,0.462,,,0.462,PERNOS RIELEROS NG C,,,,
Perno riel NA 1x6,Perno riel NA 1x6,34778.0,2721232096-5,0.7,,,0.7,PERNOS RIELEROS NG C,,,,
Perno riel NA 1x6.1/2,Perno riel NA 1x6.1/2,34779.0,2721232104-K,0.75,,,0.75,PERNOS RIELEROS NG C,,,,
Perno riel G-2 3/4x4x1.3/4H,Perno riel G-2 3/4x4x1.3/4H,36366.0,2721024064-6,0.266,,,0.266,PERNOS RIELEROS NG C,,,,
Perno riel NA 3/4x4.1/4,Perno riel NA 3/4x4.1/4,34776.0,2721224068-6,0.282,,,0.282,PERNOS RIELEROS NG C,,,,
Perno riel NA 5/8x3.1/4,Perno riel NA 5/8x3.1/4,34775.0,2721220052-8,0.153,,,0.153,PERNOS RIELEROS NG C,,,,
Perno riel NA 7/8x4.1/4x2H,Perno riel NA 7/8x4.1/4x2H,35310.0,2721028068-0,0.392,1020 7/8,,0.5562,PERNOS RIELEROS NG C,,,,
Perno riel NA 7/8x5x2H,Perno riel NA 7/8x5x2H,34777.0,2721228080-7,0.449,,,0.449,PERNOS RIELEROS NG C,,,,
Perno riel NA G-5 1x3.1/2,Perno riel NA G-5 1x3.1/2,35003.0,2751332056-1,0.462,,,0.462,PERNOS RIELEROS NG C,,,,
Perno riel NA G-5 1x3.1/2,Perno riel NA G-5 1x3.1/2,35003.0,2751332056-1,0.462,,,0.462,PERNOS RIELEROS NG C,,,,
Perno riel NA G-5 7/8x5,Perno riel NA G-5 7/8x5,35002.0,2751328080-2,0.462,,,0.462,PERNOS RIELEROS NG C,,,,
Perno riel p/Tirante K-U-Y-Z 1x100,Perno riel p/Tirante K-U-Y-Z 1x100,35328.0,2821632130-K,0.53,,,0.53,PERNOS RIELEROS NG C,,,,
Perno riel t/Silla BCY 7/8x70,Perno riel t/Silla BCY 7/8x70,34569.0,2821628110-3,0.354,,,0.541,PERNOS RIELEROS NG C,,,,
Perno Talón Aguja BCY 7/8x240,Perno Talón Aguja BCY 7/8x240,34468.0,2821028240-K,0.88,,,1.0467,OTROS PRODUCTOS NG C,,,,
